City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,verkhnyaya inta,65.9811,60.3094,-5.4,89,97,9.64,RU,1675916758
1,rikitea,-23.1203,-134.9692,26.75,73,4,6.4,PF,1675916679
2,pisco,-13.7,-76.2167,23.03,83,0,3.09,PE,1675916429
3,lavrentiya,65.5833,-171.0,-24.44,97,100,1.12,RU,1675916389
4,bathsheba,13.2167,-59.5167,25.34,78,20,8.75,BB,1675916510
5,vaini,-21.2,-175.2,27.09,89,75,4.63,TO,1675916333
6,carnarvon,-24.8667,113.6333,30.79,53,63,6.73,AU,1675916676
7,sao filipe,14.8961,-24.4956,20.6,75,58,3.17,CV,1675916622
8,lebu,-37.6167,-73.65,14.75,95,5,4.59,CL,1675916615
9,salalah,17.0151,54.0924,21.05,56,0,2.57,OM,1675916761
10,rawson,-43.3002,-65.1023,21.34,51,71,11.78,AR,1675916762
11,kruisfontein,-34.0033,24.7314,17.94,80,95,1.07,ZA,1675916500
12,hobyo,5.3505,48.5268,25.36,75,45,7.21,SO,1675916759
13,tateyama,34.9833,139.8667,8.92,41,40,6.36,JP,1675916765
14,new norfolk,-42.7826,147.0587,21.6,41,98,0.89,AU,1675916558
15,san juan del cesar,10.7711,-73.0031,27.53,81,16,2.72,CO,1675916767
16,klaksvik,62.2266,-6.589,1.51,69,86,19.74,FO,1675916735
17,aklavik,68.2191,-135.0107,-34.01,99,95,1.53,CA,1675916769
18,karratha,-20.7377,116.8463,34.69,46,0,5.38,AU,1675916558
19,mataura,-46.1927,168.8643,14.15,62,87,3.91,NZ,1675916770
20,paredon,16.0333,-93.8667,25.34,64,0,2.75,MX,1675916771
21,sakakah,29.9697,40.2064,3.76,81,84,2.28,SA,1675916771
22,chokurdakh,70.6333,147.9167,-31.94,96,100,2.44,RU,1675916596
23,ixtapa,20.7,-105.2,19.57,88,0,0.0,MX,1675916479
24,jamestown,42.097,-79.2353,0.8,89,0,3.6,US,1675916687
